,,,
,,,
,Incidente,Refletida,Albedo
,504.9,167.7,0.3321449792
,476.9,159.4,0.3342419795
,473.8,124.6,0.2629801604
,547.9,155.3,0.2834458843
,451.8,272.3,0.6027003099
,305.3,136,0.4454634785
,377.9,54.11,0.143186028
,521.2,33.48,0.06423637759
,524.5,40.31,0.07685414681
,470.7,94.6,0.2009772679
,536.6,42.53,0.07925829296
,360.1,42.7,0.1185781727
,434.7,49.88,0.1147458017
,548.7,164.3,0.2994350282
,321.7,55.34,0.1720236245
,757,55.39,0.07317040951
,758.6,94.9,0.1250988663
,761.4,58.33,0.07660887838
,758.6,94.9,0.1250988663
,761.4,58.33,0.07660887838