FLORIANOPOLIS (A806);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/mÂ²);Chuva (mm);
22/04/2021;0100;21,7;21,9;21,6;68,0;71,0;68,0;15,6;16,1;15,6;1020,5;1020,5;1020,2;2,3;122,0;6,7;4,32;0,0;
22/04/2021;0200;21,3;21,8;21,3;70,0;71,0;68,0;15,5;16,0;15,5;1020,6;1020,6;1020,5;1,0;172,0;5,0;;0,0;
22/04/2021;0300;19,3;21,5;19,3;83,0;83,0;68,0;16,4;16,4;15,1;1020,5;1020,7;1020,5;1,1;260,0;3,3;;0,0;
22/04/2021;0400;18,5;19,3;18,5;85,0;86,0;83,0;16,0;16,4;16,0;1020,1;1020,5;1020,1;1,1;258,0;2,7;;0,0;
22/04/2021;0500;18,2;18,6;18,1;86,0;87,0;85,0;15,8;16,2;15,8;1019,9;1020,1;1019,8;1,1;270,0;2,6;;0,0;
22/04/2021;0600;18,1;18,5;18,0;83,0;86,0;81,0;15,0;15,7;15,0;1019,5;1019,9;1019,5;0,5;274,0;3,0;;0,0;
22/04/2021;0700;18,0;18,1;17,9;84,0;84,0;83,0;15,1;15,2;15,0;1019,0;1019,5;1019,0;0,1;314,0;2,9;;0,0;
22/04/2021;0800;17,8;18,3;17,6;84,0;85,0;83,0;15,1;15,7;15,0;1019,1;1019,1;1018,9;1,9;275,0;3,3;;0,0;
22/04/2021;0900;17,4;18,0;17,4;86,0;86,0;84,0;15,0;15,2;15,0;1019,1;1019,2;1018,9;0,0;340,0;3,3;;0,0;
22/04/2021;1000;17,7;17,7;17,1;86,0;88,0;86,0;15,3;15,5;14,8;1019,9;1019,9;1019,1;1,5;276,0;3,3;5,82;0,0;
22/04/2021;1100;18,6;18,6;17,7;81,0;85,0;81,0;15,4;15,6;15,0;1020,6;1020,6;1019,7;1,5;269,0;3,3;230,26;0,0;
22/04/2021;1200;21,2;21,4;18,6;72,0;81,0;72,0;15,9;16,5;15,2;1020,5;1020,7;1020,3;0,4;146,0;3,2;1023,48;0,0;
22/04/2021;1300;22,5;22,5;19,9;66,0;78,0;65,0;15,8;16,8;15,4;1020,5;1020,8;1020,5;0,9;190,0;3,4;1252,79;0,0;
22/04/2021;1400;23,6;23,7;21,9;64,0;68,0;64,0;16,4;16,9;15,1;1020,4;1020,5;1020,3;1,2;198,0;2,5;2361,56;0,0;
22/04/2021;1500;23,0;24,5;22,6;68,0;70,0;62,0;16,8;17,4;15,9;1019,6;1020,4;1019,6;2,7;148,0;5,9;2362,59;0,0;
22/04/2021;1600;23,6;23,7;22,7;62,0;69,0;61,0;15,8;17,3;15,8;1018,9;1019,6;1018,9;2,3;157,0;6,5;2812,19;0,0;
22/04/2021;1700;24,1;24,5;23,6;59,0;62,0;57,0;15,6;16,2;15,0;1018,2;1018,9;1018,2;2,0;163,0;5,1;2648,17;0,0;
22/04/2021;1800;23,9;24,3;23,7;63,0;65,0;59,0;16,4;17,1;15,6;1017,9;1018,2;1017,9;1,9;155,0;4,5;2210,05;0,0;
22/04/2021;1900;23,4;24,0;23,4;66,0;66,0;61,0;16,6;16,9;15,6;1017,9;1018,0;1017,9;2,0;152,0;4,3;1599,18;0,0;
22/04/2021;2000;22,8;23,5;22,8;62,0;68,0;62,0;15,2;17,2;15,1;1017,9;1018,0;1017,8;2,2;144,0;5,8;848,02;0,0;
22/04/2021;2100;21,7;22,8;21,7;72,0;73,0;62,0;16,4;16,7;15,5;1018,0;1018,0;1017,7;2,5;154,0;6,4;142,24;0,0;
22/04/2021;2200;21,2;21,7;21,2;73,0;73,0;72,0;16,1;16,7;16,0;1018,2;1018,3;1018,0;1,8;161,0;5,5;;0,0;
22/04/2021;2300;20,7;21,3;20,5;73,0;73,0;71,0;15,8;16,4;15,2;1018,7;1018,7;1018,2;1,2;175,0;4,5;;0,0;
